index,word,idf
103,appeared,4.466985122200159
104,apple,4.690128673514368
105,application,4.284663565406204
106,apply,4.7414219679019185
107,approach,4.318565117081885
108,approximately,5.046803617453101
109,april,3.66050925633321
110,architecture,5.046803617453101
111,archive,5.383275854074314
112,area,3.2670203392717614
113,argued,4.852647603012143
114,argument,4.7414219679019185
115,arm,4.55036673113921
116,armistice,5.200954297280359
117,army,3.8146599361604685
118,around,2.881839902335103
119,arrived,4.594818493710044
120,art,4.353656436893155
121,article,2.9409288187051095
122,artillery,5.383275854074314
123,artist,5.383275854074314
124,asia,4.594818493710044
125,ask,4.690128673514368
126,asked,4.048274787341974
127,asking,4.641338509344936
128,aspect,4.7414219679019185
129,assembly,4.594818493710044
130,asset,4.977810745966149
131,associated,4.318565117081885
132,association,4.284663565406204
133,asteroid,5.383275854074314
134,astronomical,5.200954297280359
135,astronomy,5.046803617453101
136,athens,4.130512885578946
137,athlete,3.948191328784991
138,athletics,4.284663565406204
139,atmosphere,5.287965674269989
140,attack,3.5587265620232675
141,attacked,4.466985122200159
142,attempt,3.857219550579264
143,attention,4.427764409046877
144,attitude,4.594818493710044
145,audience,4.427764409046877
146,august,3.6785277618358885
147,australia,4.5078071167204135
148,australian,4.7414219679019185
149,austrian,5.383275854074314
150,author,4.2518737425832125
151,authority,3.924660831374797
152,available,3.2914117923959205
153,avenue,5.200954297280359
154,average,4.353656436893155
155,aviation,5.200954297280359
156,avoid,4.284663565406204
157,award,4.189353385601879
158,away,3.4663532418922527
159,baalke,5.48863636973214
160,back,2.7300338894670984
161,background,4.913272224828578
162,bad,3.924660831374797
163,bake,4.852647603012143
164,baking,5.046803617453101
165,balance,4.795489189172194
166,balco,5.287965674269989
167,ban,4.5078071167204135
168,band,4.795489189172194
169,bank,3.6785277618358885
170,banned,4.690128673514368
171,base,4.3900240810640305
172,based,3.6254179365219397
173,basic,4.318565117081885
174,basis,4.594818493710044
175,battle,3.7540353143440335
176,bay,4.690128673514368
177,bbc,3.255044148225046
178,bc,5.383275854074314
179,beat,4.427764409046877
180,beaten,4.795489189172194
181,became,3.948191328784991
182,become,3.3291521203787675
183,becoming,4.353656436893155
184,began,3.60832350316264
185,begin,3.9722888803640513
186,beginning,4.284663565406204
187,begun,4.7414219679019185
188,behind,3.6254179365219397
189,belgium,4.977810745966149
190,belief,4.0222993009387125
191,believe,3.4231810700270437
192,believed,4.130512885578946
193,bell,5.287965674269989
194,ben,5.48863636973214
195,benefit,3.8146599361604685
196,berlin,5.046803617453101
197,best,3.022421852956292
198,bet,5.200954297280359
199,better,3.2914117923959205
200,beyond,4.2518737425832125
201,bid,4.594818493710044
202,big,3.511473677172722
203,biggest,3.60832350316264
204,bill,3.9722888803640513
205,billion,4.7414219679019185
206,birmingham,4.594818493710044
207,birth,5.046803617453101
208,bit,3.8791984572980396
209,bitnet,5.383275854074314
210,black,4.3900240810640305
211,blair,4.0222993009387125
212,blog,6.076423034634259
213,blogger,6.076423034634259
214,blood,4.2518737425832125
215,board,4.318565117081885
216,bob,5.200954297280359
217,body,3.4517544424711
218,boerse,6.299566585948469
219,bombardment,5.383275854074314
220,bond,5.287965674269989
221,book,3.6968769005040847
222,boost,4.5078071167204135
223,border,4.7414219679019185
224,borrowing,5.287965674269989
225,bowl,4.427764409046877
226,box,4.048274787341974
227,boy,5.200954297280359
228,brand,4.5078071167204135
229,bread,4.977810745966149
230,break,4.159500422452197
231,breakthrough,4.852647603012143
232,bring,4.2518737425832125
233,britain,3.186051276738094
234,british,2.985380581275943
235,broadband,5.383275854074314
236,broadcast,4.7414219679019185
237,broke,4.690128673514368
238,bronze,4.795489189172194
239,brother,5.046803617453101
240,brought,3.996981492954423
241,brown,4.0222993009387125
242,browser,5.894101477840304
243,bruce,5.1209115896068225
244,budget,4.353656436893155
245,build,4.159500422452197
246,building,3.9722888803640513
247,built,4.3900240810640305
248,business,3.3038343123944776
249,butter,4.795489189172194
250,buy,4.048274787341974
251,ca,3.4962062050419336
252,cabinet,4.977810745966149
253,cable,4.913272224828578
254,calcium,5.6064194053885235
255,california,4.690128673514368
256,call,3.5587265620232675
257,called,3.164072370019319
258,came,3.3291521203787675
259,camera,4.7414219679019185
260,camp,4.852647603012143
261,campaign,3.6968769005040847
262,campbell,5.48863636973214
263,canada,4.913272224828578
264,cancer,4.55036673113921
265,candida,5.739950798013046
266,candidate,5.200954297280359
267,capability,4.913272224828578
268,capable,4.795489189172194
269,capital,4.159500422452197
270,car,4.690128673514368
271,card,4.427764409046877
272,care,4.284663565406204
273,career,4.102342008612249
274,carefully,4.641338509344936
275,carry,4.466985122200159
276,case,3.0907410969337694
277,cash,4.427764409046877
278,casualty,4.7414219679019185
279,category,4.318565117081885
280,cause,3.8791984572980396
281,caused,4.102342008612249
282,cdc,5.739950798013046
283,celebrity,4.852647603012143
284,cell,4.852647603012143
285,center,3.7738379416402132
286,central,3.7738379416402132
287,centre,3.8357133453583008
288,century,3.996981492954423
289,ceremony,4.7414219679019185
290,certain,4.074943034424135
291,certainly,4.220125044268633
292,chain,5.287965674269989
293,chairman,4.189353385601879
294,challenge,4.102342008612249
295,chamber,4.977810745966149
296,champion,3.857219550579264
297,championship,4.159500422452197
298,chance,3.6968769005040847
299,chancellor,4.2518737425832125
300,change,3.2315136508148514
301,changed,4.2518737425832125
302,channel,4.284663565406204
303,charge,3.9722888803640513
304,charged,4.7414219679019185
305,charles,4.284663565406204
306,chart,5.48863636973214
307,check,4.318565117081885
308,cheese,4.977810745966149
309,chemical,5.200954297280359
310,chepkemei,5.739950798013046
311,chicago,4.913272224828578
312,chicken,5.200954297280359
313,chief,3.243209690578043
314,child,3.948191328784991
315,china,4.353656436893155
316,chinese,5.046803617453101
317,chip,4.977810745966149
318,chocolate,5.287965674269989
319,choice,3.9722888803640513
320,choose,4.427764409046877
321,chopped,4.594818493710044
322,chosen,4.594818493710044
323,christian,4.852647603012143
324,christmas,4.977810745966149
325,cinema,5.1209115896068225
326,citizen,4.641338509344936
327,city,3.66050925633321
328,civil,4.427764409046877
329,civilian,4.466985122200159
330,civilization,5.287965674269989
331,claim,3.642809679233809
332,claimed,4.353656436893155
333,claiming,4.641338509344936
334,clarke,5.739950798013046
335,class,4.690128673514368
336,classic,4.795489189172194
337,clear,3.574987082895048
338,clinical,5.1209115896068225
339,close,3.7540353143440335
340,closed,4.913272224828578
341,closer,4.852647603012143
342,coach,4.5078071167204135
343,coast,4.977810745966149
344,code,4.189353385601879
345,cold,4.690128673514368
346,collection,5.046803617453101
347,college,4.795489189172194
348,collins,5.287965674269989
349,colonial,5.383275854074314
350,color,4.3900240810640305
351,colour,5.383275854074314
352,combine,4.5078071167204135
353,combined,4.427764409046877
354,come,2.9409288187051095
355,comedy,4.466985122200159
356,comet,5.200954297280359
357,coming,4.0222993009387125
358,command,4.2518737425832125
359,commander,4.852647603012143
360,comment,3.948191328784991
361,commercial,4.159500422452197
362,commission,4.55036673113921
363,committed,4.690128673514368
364,committee,4.189353385601879
365,common,3.5587265620232675
366,commonly,4.913272224828578
367,communication,3.996981492954423
368,community,3.996981492954423
369,company,2.9673620757732646
370,compared,3.996981492954423
371,compete,4.427764409046877
372,competition,4.048274787341974
373,complete,4.318565117081885
374,completely,4.284663565406204
375,complex,4.55036673113921
376,component,4.7414219679019185
377,comprehensive,5.383275854074314
378,computer,3.4663532418922527
379,concern,3.8146599361604685
380,concerned,4.427764409046877
381,concluded,4.795489189172194
382,condition,3.924660831374797
383,conference,4.048274787341974
384,confidence,4.5078071167204135
385,confident,4.641338509344936
386,confirmed,4.318565117081885
387,conflict,4.353656436893155
388,connection,4.594818493710044
389,conservative,4.048274787341974
390,consider,4.55036673113921
391,considered,4.159500422452197
392,console,5.6064194053885235
393,constant,5.383275854074314
394,construction,4.852647603012143
395,consumer,3.7940406489577327
396,consumption,4.913272224828578
397,contact,3.996981492954423
398,contain,4.594818493710044
399,contained,4.690128673514368
400,contains,5.200954297280359
401,conte,5.6064194053885235
402,content,4.318565117081885
403,continue,3.7155690335162372
404,continued,4.189353385601879
405,continues,4.594818493710044
406,continuing,4.427764409046877
407,contract,4.7414219679019185
408,contrast,4.641338509344936
409,contribution,4.690128673514368
410,control,3.481168327677393
411,controlled,4.690128673514368
412,controversial,4.690128673514368
413,convention,5.739950798013046
414,convert,5.383275854074314
415,cook,4.852647603012143
416,cookie,5.6064194053885235
417,cool,4.690128673514368
418,copy,4.795489189172194
419,copyright,5.200954297280359
420,core,4.466985122200159
421,cornstarch,5.383275854074314
422,corp,4.852647603012143
423,correct,4.690128673514368
424,cost,3.1972245773362196
425,could,2.201064013577704
426,council,4.2518737425832125
427,country,3.0037297199441397
428,couple,4.641338509344936
429,course,3.5269778637086873
430,court,4.074943034424135
431,cover,3.996981492954423
432,covered,4.3900240810640305
433,crash,4.641338509344936
434,cream,5.200954297280359
435,create,3.66050925633321
436,created,3.8791984572980396
437,creating,4.795489189172194
438,creation,4.55036673113921
439,creative,4.795489189172194
440,credit,4.5078071167204135
441,crime,4.690128673514368
442,criminal,4.427764409046877
443,crisis,4.795489189172194
444,critic,4.690128673514368
445,critical,4.55036673113921
446,crop,5.287965674269989
447,cross,4.427764409046877
448,cruiser,5.894101477840304
449,culture,4.427764409046877
450,cup,3.857219550579264
451,currency,5.1209115896068225
452,current,3.511473677172722
453,currently,3.6968769005040847
454,customer,4.130512885578946
455,cut,3.3954015059199683
456,cutting,4.594818493710044
457,daily,4.594818493710044
458,damage,4.55036673113921
459,data,3.511473677172722
460,database,5.287965674269989
461,date,3.481168327677393
462,david,3.3683728335320486
463,day,2.7160476474923585
464,dc,5.1209115896068225
465,de,4.220125044268633
466,dead,4.466985122200159
467,deal,3.7346172284869317
468,death,3.857219550579264
469,debate,4.466985122200159
470,debt,4.977810745966149
471,debut,4.594818493710044
472,dec,5.287965674269989
473,decade,4.3900240810640305
474,december,3.5427262206768266
475,decide,4.7414219679019185
476,decided,3.857219550579264
477,decision,3.574987082895048
478,declared,4.5078071167204135
479,decline,4.55036673113921
480,deep,4.427764409046877
481,defeat,4.594818493710044
482,defence,5.1209115896068225
483,defense,4.795489189172194
484,degree,4.427764409046877
485,deliver,4.690128673514368
486,delivered,4.690128673514368
487,delivery,5.287965674269989
488,delta,5.383275854074314
489,demand,3.8146599361604685
490,democrat,4.318565117081885
491,dems,5.287965674269989
492,denied,4.466985122200159
493,department,3.8357133453583008
494,described,3.996981492954423
495,design,3.7540353143440335
496,designed,4.189353385601879
497,designer,4.795489189172194
498,despite,3.4517544424711
499,destroyer,6.299566585948469
500,detail,3.9722888803640513
501,detailed,4.7414219679019185
502,determined,4.795489189172194
503,deutsche,5.6064194053885235
504,develop,4.427764409046877
505,developed,3.7540353143440335
506,developer,5.046803617453101
507,developing,4.353656436893155
508,development,3.574987082895048
509,device,4.0222993009387125
510,diabetes,5.200954297280359
511,diagnosed,4.852647603012143
512,diagnosis,4.852647603012143
513,died,4.189353385601879
514,diet,4.353656436893155
515,difference,4.353656436893155
516,different,3.4231810700270437
517,difficult,4.0222993009387125
518,digital,3.8357133453583008
519,direct,4.220125044268633
520,directed,4.594818493710044
521,direction,4.795489189172194
522,directly,4.7414219679019185
523,director,3.255044148225046
524,discipline,5.6064194053885235
525,discovered,4.852647603012143
526,discussion,4.284663565406204
527,disease,3.66050925633321
528,disk,5.48863636973214
529,display,4.353656436893155
530,distance,4.641338509344936
531,distributed,5.287965674269989
532,distribution,5.046803617453101
533,divide,4.977810745966149
534,division,3.9722888803640513
535,dj,5.48863636973214
536,dna,5.894101477840304
537,doctor,3.924660831374797
538,document,4.594818493710044
539,documentary,5.200954297280359
540,dollar,4.159500422452197
541,domain,5.6064194053885235
542,domestic,4.641338509344936
543,donation,5.6064194053885235
544,done,3.5587265620232675
545,door,4.55036673113921
546,doping,4.7414219679019185
547,double,4.0222993009387125
548,doubt,4.466985122200159
549,dough,5.200954297280359
550,download,5.1209115896068225
551,dr,4.913272224828578
552,drama,4.641338509344936
553,draw,4.690128673514368
554,drive,3.901671313150098
555,driver,5.046803617453101
556,drop,4.594818493710044
557,dropped,4.427764409046877
558,drug,3.66050925633321
559,dry,4.641338509344936
560,due,3.355127606782028
561,dutch,4.977810745966149
562,dvd,5.6064194053885235
563,dynamic,4.977810745966149
564,dynasty,5.6064194053885235
565,earlier,3.355127606782028
566,early,3.208524132590153
