class,intercept
business,-0.9257588633619734
entertainment,-0.7835978931626112
food,-0.7385837760352021
graphics,-0.6590884415814777
historical,-0.8585128699397533
medical,-0.7295117227473722
politics,-0.909592329001662
space,-0.6255597533406281
sport,-0.8830624106462527
technologie,-0.899534180071649
